iter	Logloss
0	0.6180212744
1	0.5720267105
2	0.5457832531
3	0.529282502
4	0.5185426873
5	0.5116976579
6	0.5062426952
7	0.5010652688
8	0.49784032
9	0.4946379186
10	0.4921433104
11	0.4907173118
12	0.4896509937
13	0.4887169701
14	0.4880742026
15	0.486876415
16	0.4859818788
17	0.4854340809
18	0.4846991523
19	0.484161698
20	0.4838431437
21	0.4832897126
22	0.4824361292
23	0.4819440794
24	0.4816506596
25	0.4812268974
26	0.4806718109
27	0.4797265958
28	0.4793917941
29	0.4790727429
30	0.4784616811
31	0.4780781822
32	0.477718956
33	0.4771497883
34	0.4768373007
35	0.476374371
36	0.4757381595
37	0.4753875107
38	0.4750230537
39	0.4747242881
40	0.4740936501
41	0.4737854369
42	0.4732922974
43	0.472747621
44	0.4723652227
45	0.4717248575
46	0.4712797654
47	0.4710604673
48	0.4708019725
49	0.4702040358
50	0.4700064694
51	0.4697427977
52	0.4693193643
53	0.4687026016
54	0.4684392527
55	0.46800631
56	0.4676312144
57	0.4672276021
58	0.4670125651
59	0.4668115089
60	0.4666002219
61	0.4663951158
62	0.4654276328
63	0.4652244368
64	0.4649630933
65	0.4646058932
66	0.4642909856
67	0.4640957798
68	0.4639372481
69	0.463406223
70	0.4626412073
71	0.4623199887
72	0.4620617317
73	0.4617594342
74	0.4614365601
75	0.4610097392
76	0.4608179109
77	0.4605573523
78	0.460364764
79	0.4598337452
80	0.4596962663
81	0.4592164608
82	0.4589462171
83	0.4586656865
84	0.4584444574
85	0.4582944511
86	0.4581277181
87	0.4578997378
88	0.4576422326
89	0.4575137091
90	0.4573759918
91	0.4572256398
92	0.4566305813
93	0.4562682138
94	0.4561145854
95	0.4559704693
96	0.4557193919
97	0.4554371588
98	0.4550422539
99	0.4548833495
