iter	Passed	Remaining
0	153	15166
1	155	7635
2	158	5115
3	160	3854
4	162	3096
5	165	2596
6	168	2232
7	170	1960
8	172	1748
9	175	1577
10	177	1437
11	180	1321
12	182	1222
13	184	1135
14	187	1064
15	190	1000
16	192	941
17	195	890
18	198	844
19	200	803
20	203	766
21	206	731
22	208	699
23	211	669
24	213	641
25	215	614
26	218	590
27	221	569
28	223	548
29	226	528
30	229	510
31	231	492
32	234	475
33	236	459
34	239	444
35	241	429
36	244	415
37	247	403
38	249	390
39	252	378
40	255	367
41	257	355
42	260	345
43	263	334
44	265	324
45	268	315
46	271	306
47	274	296
48	276	287
49	278	278
50	281	270
51	284	262
52	286	253
53	288	245
54	290	237
55	292	230
56	295	222
57	298	215
58	300	208
59	303	202
60	305	195
61	308	188
62	310	182
63	313	176
64	316	170
65	318	164
66	320	158
67	323	152
68	326	146
69	328	140
70	331	135
71	333	129
72	336	124
73	338	118
74	340	113
75	343	108
76	346	103
77	348	98
78	351	93
79	353	88
80	356	83
81	359	78
82	361	74
83	364	69
84	367	64
85	369	60
86	372	55
87	375	51
88	378	46
89	380	42
90	383	37
91	385	33
92	388	29
93	390	24
94	393	20
95	395	16
96	398	12
97	400	8
98	403	4
99	405	0
